a:20:{i:0;s:3:"011";i:1;s:3:"013";i:2;s:3:"021";i:3;s:3:"023";i:4;s:3:"053";i:5;s:3:"055";i:6;s:3:"057";i:7;s:3:"059";i:8;s:3:"063";i:9;s:3:"071";i:10;s:3:"093";i:11;s:3:"095";i:12;s:3:"097";i:13;s:3:"105";i:14;s:3:"107";i:15;s:3:"119";i:16;s:3:"121";i:17;s:3:"133";i:18;s:3:"145";i:19;s:3:"159";}Array
(
    [0] => 011
    [1] => 013
    [2] => 021
    [3] => 023
    [4] => 053
    [5] => 055
    [6] => 057
    [7] => 059
    [8] => 063
    [9] => 071
    [10] => 093
    [11] => 095
    [12] => 097
    [13] => 105
    [14] => 107
    [15] => 119
    [16] => 121
    [17] => 133
    [18] => 145
    [19] => 159
)
Output Freq,Input Freq,Offset,Tone,TSQ,"Location",County,lat,long,Call,Use,Op Status,Mode,EchoLink,IRLP,AllStar,Coverage,Last Update
443.15000,448.15000,+,77.0,,Lebanon,Boone,40.048,-86.469,N9HLL,CLOSED,On-Air,,,,,,2017-12-25
147.10500,147.70500,+,77.0,,Lebanon,Boone,40.048,-86.469,N9HLL,OPEN,On-Air,,,,,,2018-10-29
53.09000,52.09000,-,136.5,136.5,Nashville - Brown County State Park,Brown,39.162,-86.221,W9SCI,OPEN,On-Air,,,,,,2017-09-16
147.30000,147.90000,+,136.5,,Nashville - Brown County State Park,Brown,39.207,-86.251,KD9KQS,OPEN,On-Air,,,,,,2018-06-05
443.27500,448.27500,+,136.5,136.5,Nashville - Indiana ,Brown,39.162,-86.221,KD9KQS,OPEN,On-Air,,,,,,2018-11-12
443.58750,448.58750,+,,,Nashville - Brown County State Park,Brown,39.169,-86.222,KC9TKJ,OPEN,On-Air,DMR,,,,,2019-12-08
145.42000,144.82000,-,151.4,151.4,Center Point,Clay,39.417,-87.077,N9CCA,OPEN,On-Air,YSF/analog,,,,,2017-12-21
145.37000,144.77000,-,131.8,,Rossville,Clinton,40.417,-86.595,WI9RES,OPEN,On-Air,,,,,,2017-12-23
442.57500,447.57500,+,173.8,173.8,Frankfort,Clinton,40.279,-86.511,W9SMJ,OPEN,On-Air,YSF/analog,,,,,2018-06-07
146.61000,146.01000,-,,,Cyclone,Clinton,40.228,-86.433,KC9HNP,OPEN,On-Air,,,,,,2018-02-15
147.04500,147.64500,+,173.8,173.8,Frankfort,Clinton,40.279,-86.511,W9SMJ,OPEN,On-Air,,,,,,2018-06-07
443.50000,448.50000,+,131.8,,Rossville,Clinton,40.417,-86.595,WI9RES,OPEN,On-Air,,,,,,2017-12-25
443.37500,448.37500,+,,,Frankfort,Clinton,40.279,-86.511,W9SMJ,OPEN,On-Air,DMR,,,,,2019-12-08
224.88000,223.28000,-,173.8,173.8,Frankfort,Clinton,40.279,-86.511,W9SMJ,OPEN,On-Air,,,,,,2018-06-07
444.75000,449.75000,+,141.3,141.3,Marion,Grant,40.616,-85.646,K9MMQ,OPEN,On-Air,,,,,,2019-04-12
443.40000,448.40000,+,141.3,,Marion - WXCC tower,Grant,40.558,-85.659,W9EBN,OPEN,On-Air,,,,,,2017-05-09
442.75000,447.75000,+,131.8,,Marion,Grant,40.558,-85.659,KB9CRA,OPEN,On-Air,DMR,,,,,2019-12-08
147.19500,147.79500,+,141.3,,Marion,Grant,40.558,-85.659,W9EBN,OPEN,On-Air,,,,,,2017-12-23
146.79000,146.19000,-,141.3,,Marion,Grant,40.558,-85.659,W9EBN,OPEN,On-Air,,,,,,2017-12-23
145.31000,144.71000,-,,,Marion - General Motors Metal Fabricating plant,Grant,40.558,-85.659,WB9UCF,OPEN,On-Air,,,,,,2017-07-28
443.82500,448.82500,+,141.3,,Jonesboro,Grant,40.480,-85.628,N9PKL,OPEN,On-Air,,,,,,2018-07-12
147.24000,147.84000,+,103.5,,Bloomfield,Greene,39.021,-86.724,W9HD,OPEN,On-Air,,,,,,2017-12-24
53.31000,52.31000,-,88.5,,Jasonville,Greene,39.163,-87.199,KC9AK,OPEN,Off-Air,,,,,,2017-12-21
145.17000,144.57000,-,100.0,,Linton,Greene,39.035,-87.166,KA9JOK,OPEN,On-Air,,,,,,2017-12-23
145.39000,144.79000,-,118.8,,Linton,Greene,39.035,-87.166,W9GCR,OPEN,On-Air,,,,,Wide area,2017-12-24
444.80000,449.80000,+,100.0,,Linton,Greene,39.035,-87.166,KA9JOK,OPEN,On-Air,,,,,,2017-12-25
145.47000,144.87000,-,136.5,,Ridgeport,Greene,39.046,-86.804,KB9SIP,OPEN,On-Air,,,,,Wide area,2017-12-24
442.42500,447.42500,+,118.8,,Vicksburg,Greene,39.091,-87.198,KB9SIP,OPEN,On-Air,,,,,Wide area,2017-12-25
444.35000,449.35000,+,100.0,,Linton,Greene,39.035,-87.166,KA9JOK,OPEN,On-Air,,,,,,2017-12-25
443.55000,448.55000,+,77.0,,Noblesville,Hamilton,40.053,-85.989,N9EOC,OPEN,On-Air,,,4816,,,2017-12-25
145.17000,144.57000,-,77.0,,Noblesville,Hamilton,40.046,-86.009,N9EOC,OPEN,On-Air,,,4816,,,2017-12-23
443.90000,448.90000,+,77.0,,Noblesville,Hamilton,40.015,-85.983,W9ICE,OPEN,On-Air,,,,,,2017-12-25
927.08750,902.08750,-,131.8,,Noblesville,Hamilton,40.046,-86.009,K3HTK,OPEN,On-Air,,73008,8492,,,2017-12-24
444.41250,449.41250,+,,,Noblesville,Hamilton,40.046,-86.009,K3HTK,OPEN,On-Air,DMR,,,,,2019-12-08
927.53750,902.53750,-,151.4,151.4,Noblesville,Hamilton,40.046,-86.009,NF9K,OPEN,Off-Air,P25,,,,,2019-04-12
444.72500,449.72500,+,,,Greenfield,Hancock,39.785,-85.769,W9ATG,OPEN,Unknown,,,,,,2020-04-04
444.45000,449.45000,+,88.5,88.5,Greenfield,Hancock,39.863,-85.745,W9ATG,OPEN,On-Air,,,,,,2020-04-05
145.33000,144.73000,-,88.5,88.5,Greenfield,Hancock,39.863,-85.745,W9ATG,OPEN,On-Air,,,,,,2020-04-10
224.92000,223.32000,-,88.5,,McCordsville,Hancock,39.894,-85.920,WA4QQR,OPEN,On-Air,,,,,,2017-12-22
442.27500,447.27500,+,123.0,,Plainfield,Hendricks,39.704,-86.399,AB9D,OPEN,On-Air,,,,,,2017-12-24
145.29000,144.69000,-,88.5,,Stilesville,Hendricks,39.638,-86.634,AB9D,OPEN,On-Air,,,,,,2017-12-23
444.57500,449.57500,+,,,Danville,Hendricks,39.761,-86.526,WX9HC,OPEN,On-Air,DMR,,,,Wide area,2019-12-08
442.90000,447.90000,+,,,Danville,Hendricks,39.761,-86.526,WB9CIF,OPEN,On-Air,,,,,Wide area,2017-12-24
147.16500,147.76500,+,,,Danville,Hendricks,39.761,-86.526,K9LMK,OPEN,On-Air,,,,,Wide area,2017-12-22
145.13000,144.53000,-,88.5,88.5,Danville,Hendricks,39.761,-86.526,WX9HC,OPEN,On-Air,YSF/analog,,,,Wide area,2019-04-12
444.20000,449.20000,+,,,Brownsburg,Hendricks,39.843,-86.398,W9BU,OPEN,On-Air,,,,,,2018-12-21
147.01500,147.61500,+,88.5,,Belleville,Hendricks,39.677,-86.488,K9PZ,OPEN,On-Air,,,,,,2019-10-19
